"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal"
"Nível","Cód.","Município","Ano x Tipo de produto de origem animal"
"Nível","Cód.","Município","2004",,,,"2005",,,,"2006",,,,"2007",,,,"2008",,,,"2009",,,,"2010",,,,"2011",,,,"2012",,,,"2013",,,,"2014",,,,"2015",,,,"2016",,,,"2017",,,,"2018",,,,"2019",,,,"2020",,,,"2021",,,,"2022",,,,"2023",,,,"2024"
"Nível","Cód.","Município","Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite"
"MU","1302900","Maués (AM)","..","","274","Mil litros","..","","274","Mil litros","..","","283","Mil litros","..","","102","Mil litros","..","","1248","Mil litros","..","","1265","Mil litros","..","","1368","Mil litros","..","","1775","Mil litros","..","","672","Mil litros","..","","692","Mil litros","..","","1653","Mil litros","..","","794","Mil litros","..","","740","Mil litros","..","","526","Mil litros","..","","432","Mil litros","..","","450","Mil litros","..","","480","Mil litros","..","","300","Mil litros","..","","275","Mil litros","..","","259","Mil litros","..","","270","Mil litros"
"MU","1303007","Nhamundá (AM)","..","","488","Mil litros","..","","488","Mil litros","..","","505","Mil litros","..","","100","Mil litros","..","","12","Mil litros","..","","12","Mil litros","..","","25","Mil litros","..","","31","Mil litros","..","","82","Mil litros","..","","83","Mil litros","..","","93","Mil litros","..","","27","Mil litros","..","","96","Mil litros","..","","85","Mil litros","..","","99","Mil litros","..","","101","Mil litros","..","","174","Mil litros","..","","173","Mil litros","..","","155","Mil litros","..","","212","Mil litros","..","","540","Mil litros"
"MU","1303106","Nova Olinda do Norte (AM)","..","","14","Mil litros","..","","14","Mil litros","..","","15","Mil litros","..","","31","Mil litros","..","","6","Mil litros","..","","6","Mil litros","..","","9","Mil litros","..","","15","Mil litros","..","","335","Mil litros","..","","330","Mil litros","..","","1400","Mil litros","..","","1475","Mil litros","..","","1406","Mil litros","..","","1644","Mil litros","..","","1500","Mil litros","..","","1368","Mil litros","..","","1287","Mil litros","..","","1180","Mil litros","..","","1190","Mil litros","..","","1200","Mil litros","..","","1430","Mil litros"
"MU","1303205","Novo Airão (AM)","..","","30","Mil litros","..","","41","Mil litros","..","","45","Mil litros","..","","9","Mil litros","..","","9","Mil litros","..","","23","Mil litros","..","","20","Mil litros","..","","24","Mil litros","..","","30","Mil litros","..","","40","Mil litros","..","","40","Mil litros","..","","24","Mil litros","..","","24","Mil litros","..","","25","Mil litros","..","","8","Mil litros","..","","12","Mil litros","..","","5","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","22","Mil litros","..","","91","Mil litros"
"MU","1303304","Novo Aripuanã (AM)","..","","485","Mil litros","..","","485","Mil litros","..","","502","Mil litros","..","","51","Mil litros","..","","373","Mil litros","..","","378","Mil litros","..","","189","Mil litros","..","","180","Mil litros","..","","185","Mil litros","..","","194","Mil litros","..","","178","Mil litros","..","","180","Mil litros","..","","191","Mil litros","..","","193","Mil litros","..","","230","Mil litros","..","","200","Mil litros","..","","230","Mil litros","..","","235","Mil litros","..","","240","Mil litros","..","","696","Mil litros","..","","788","Mil litros"
"MU","1303403","Parintins (AM)","..","","5067","Mil litros","..","","5214","Mil litros","..","","5396","Mil litros","..","","2325","Mil litros","..","","7088","Mil litros","..","","7173","Mil litros","..","","7369","Mil litros","..","","10821","Mil litros","..","","5600","Mil litros","..","","6250","Mil litros","..","","5625","Mil litros","..","","4261","Mil litros","..","","3790","Mil litros","..","","3158","Mil litros","..","","3145","Mil litros","..","","3420","Mil litros","..","","3500","Mil litros","..","","3426","Mil litros","..","","2880","Mil litros","..","","2487","Mil litros","..","","5040","Mil litros"
"MU","1303502","Pauini (AM)","..","","81","Mil litros","..","","81","Mil litros","..","","83","Mil litros","..","","62","Mil litros","..","","126","Mil litros","..","","128","Mil litros","..","","155","Mil litros","..","","166","Mil litros","..","","150","Mil litros","..","","140","Mil litros","..","","300","Mil litros","..","","320","Mil litros","..","","300","Mil litros","..","","300","Mil litros","..","","310","Mil litros","..","","305","Mil litros","..","","310","Mil litros","..","","298","Mil litros","..","","290","Mil litros","..","","292","Mil litros","..","","272","Mil litros"
"MU","1303536","Presidente Figueiredo (AM)","..","","362","Mil litros","..","","362","Mil litros","..","","375","Mil litros","..","","148","Mil litros","..","","152","Mil litros","..","","154","Mil litros","..","","154","Mil litros","..","","235","Mil litros","..","","278","Mil litros","..","","280","Mil litros","..","","269","Mil litros","..","","250","Mil litros","..","","245","Mil litros","..","","221","Mil litros","..","","151","Mil litros","..","","166","Mil litros","..","","167","Mil litros","..","","210","Mil litros","..","","198","Mil litros","..","","129","Mil litros","..","","331","Mil litros"
"MU","1303569","Rio Preto da Eva (AM)","..","","428","Mil litros","..","","428","Mil litros","..","","443","Mil litros","..","","56","Mil litros","..","","62","Mil litros","..","","63","Mil litros","..","","95","Mil litros","..","","71","Mil litros","..","","72","Mil litros","..","","72","Mil litros","..","","80","Mil litros","..","","94","Mil litros","..","","47","Mil litros","..","","25","Mil litros","..","","35","Mil litros","..","","35","Mil litros","..","","35","Mil litros","..","","38","Mil litros","..","","41","Mil litros","..","","68","Mil litros","..","","65","Mil litros"
"MU","1303601","Santa Isabel do Rio Negro (AM)","..","","13","Mil litros","..","","13","Mil litros","..","","14","Mil litros","..","","...","Mil litros","..","","13","Mil litros","..","","13","Mil litros","..","","18","Mil litros","..","","18","Mil litros","..","","19","Mil litros","..","","8","Mil litros","..","","9","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","0","Mil litros","..","","0","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","...","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1303700","Santo Antônio do Içá (AM)","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","93","Mil litros","..","","90","Mil litros","..","","92","Mil litros","..","","100","Mil litros","..","","90","Mil litros","..","","84","Mil litros","..","","100","Mil litros","..","","-","Mil litros","..","","29","Mil litros","..","","1","Mil litros","..","","1","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1303809","São Gabriel da Cachoeira (AM)","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","10","Mil litros","..","","21","Mil litros","..","","28","Mil litros","..","","25","Mil litros","..","","7","Mil litros","..","","6","Mil litros","..","","6","Mil litros","..","","6","Mil litros","..","","-","Mil litros","..","","7","Mil litros","..","","8","Mil litros","..","","7","Mil litros","..","","7","Mil litros","..","","9","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1303908","São Paulo de Olivença (AM)","..","","23","Mil litros","..","","23","Mil litros","..","","23","Mil litros","..","","-","Mil litros","..","","...","Mil litros","..","","31","Mil litros","..","","35","Mil litros","..","","35","Mil litros","..","","29","Mil litros","..","","25","Mil litros","..","","19","Mil litros","..","","17","Mil litros","..","","16","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","29","Mil litros","..","","29","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1303957","São Sebastião do Uatumã (AM)","..","","17","Mil litros","..","","17","Mil litros","..","","17","Mil litros","..","","-","Mil litros","..","","19","Mil litros","..","","19","Mil litros","..","","38","Mil litros","..","","54","Mil litros","..","","35","Mil litros","..","","40","Mil litros","..","","40","Mil litros","..","","45","Mil litros","..","","37","Mil litros","..","","34","Mil litros","..","","31","Mil litros","..","","26","Mil litros","..","","31","Mil litros","..","","36","Mil litros","..","","33","Mil litros","..","","48","Mil litros","..","","51","Mil litros"
"MU","1304005","Silves (AM)","..","","225","Mil litros","..","","225","Mil litros","..","","232","Mil litros","..","","140","Mil litros","..","","44","Mil litros","..","","46","Mil litros","..","","92","Mil litros","..","","134","Mil litros","..","","150","Mil litros","..","","198","Mil litros","..","","140","Mil litros","..","","109","Mil litros","..","","160","Mil litros","..","","193","Mil litros","..","","211","Mil litros","..","","215","Mil litros","..","","190","Mil litros","..","","180","Mil litros","..","","169","Mil litros","..","","166","Mil litros","..","","171","Mil litros"
"MU","1304062","Tabatinga (AM)","..","","58","Mil litros","..","","77","Mil litros","..","","79","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","45","Mil litros","..","","29","Mil litros","..","","29","Mil litros","..","","9","Mil litros","..","","36","Mil litros","..","","13","Mil litros","..","","13","Mil litros","..","","15","Mil litros","..","","14","Mil litros","..","","14","Mil litros","..","","5","Mil litros","..","","5","Mil litros","..","","4","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1304104","Tapauá (AM)","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","180","Mil litros","..","","56","Mil litros","..","","58","Mil litros","..","","58","Mil litros","..","","58","Mil litros","..","","58","Mil litros","..","","62","Mil litros","..","","13","Mil litros","..","","12","Mil litros","..","","12","Mil litros","..","","12","Mil litros","..","","12","Mil litros","..","","83","Mil litros","..","","120","Mil litros"
"MU","1304203","Tefé (AM)","..","","24","Mil litros","..","","38","Mil litros","..","","40","Mil litros","..","","18","Mil litros","..","","5","Mil litros","..","","5","Mil litros","..","","4","Mil litros","..","","4","Mil litros","..","","15","Mil litros","..","","14","Mil litros","..","","14","Mil litros","..","","11","Mil litros","..","","11","Mil litros","..","","12","Mil litros","..","","11","Mil litros","..","","10","Mil litros","..","","10","Mil litros","..","","9","Mil litros","..","","10","Mil litros","..","","13","Mil litros","..","","20","Mil litros"
"MU","1304237","Tonantins (AM)","..","","16","Mil litros","..","","21","Mil litros","..","","23","Mil litros","..","","...","Mil litros","..","","...","Mil litros","..","","144","Mil litros","..","","230","Mil litros","..","","229","Mil litros","..","","150","Mil litros","..","","140","Mil litros","..","","140","Mil litros","..","","170","Mil litros","..","","24","Mil litros","..","","-","Mil litros","..","","4","Mil litros","..","","4","Mil litros","..","","4","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","25","Mil litros"
"MU","1304260","Uarini (AM)","..","","18","Mil litros","..","","18","Mil litros","..","","21","Mil litros","..","","7","Mil litros","..","","8","Mil litros","..","","58","Mil litros","..","","29","Mil litros","..","","29","Mil litros","..","","18","Mil litros","..","","13","Mil litros","..","","8","Mil litros","..","","7","Mil litros","..","","7","Mil litros","..","","7","Mil litros","..","","6","Mil litros","..","","6","Mil litros","..","","6","Mil litros","..","","6","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","5","Mil litros"
"MU","1304302","Urucará (AM)","..","","657","Mil litros","..","","657","Mil litros","..","","680","Mil litros","..","","33","Mil litros","..","","34","Mil litros","..","","36","Mil litros","..","","72","Mil litros","..","","72","Mil litros","..","","85","Mil litros","..","","86","Mil litros","..","","86","Mil litros","..","","78","Mil litros","..","","70","Mil litros","..","","78","Mil litros","..","","78","Mil litros","..","","70","Mil litros","..","","60","Mil litros","..","","90","Mil litros","..","","77","Mil litros","..","","65","Mil litros","..","","70","Mil litros"
"MU","1304401","Urucurituba (AM)","..","","48","Mil litros","..","","48","Mil litros","..","","50","Mil litros","..","","14","Mil litros","..","","18","Mil litros","..","","18","Mil litros","..","","37","Mil litros","..","","51","Mil litros","..","","85","Mil litros","..","","83","Mil litros","..","","84","Mil litros","..","","80","Mil litros","..","","72","Mil litros","..","","69","Mil litros","..","","66","Mil litros","..","","55","Mil litros","..","","80","Mil litros","..","","90","Mil litros","..","","87","Mil litros","..","","403","Mil litros","..","","330","Mil litros"
"Fonte: IBGE - Pesquisa da Pecuária Municipal"

"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Valor da produção"
"Nível","Cód.","Município","Ano x Tipo de produto de origem animal"
"Nível","Cód.","Município","2004",,,,"2005",,,,"2006",,,,"2007",,,,"2008",,,,"2009",,,,"2010",,,,"2011",,,,"2012",,,,"2013",,,,"2014",,,,"2015",,,,"2016",,,,"2017",,,,"2018",,,,"2019",,,,"2020",,,,"2021",,,,"2022",,,,"2023",,,,"2024"
"Nível","Cód.","Município","Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite"
"MU","1300029","Alvarães (AM)","73","Mil Reais","21","Mil Reais","75","Mil Reais","22","Mil Reais","80","Mil Reais","23","Mil Reais","39","Mil Reais","21","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","...","Mil Reais","120","Mil Reais","-","Mil Reais","110","Mil Reais","-","Mil Reais","137","Mil Reais","-","Mil Reais","151","Mil Reais","-","Mil Reais","148","Mil Reais","-","Mil Reais","116","Mil Reais","-","Mil Reais","81","Mil Reais","-","Mil Reais","77","Mil Reais","-","Mil Reais","72","Mil Reais","0","Mil Reais","71","Mil Reais","0","Mil Reais","81","Mil Reais","0","Mil Reais","83","Mil Reais","0","Mil Reais","88","Mil Reais","0","Mil Reais","66","Mil Reais","-","Mil Reais","61","Mil Reais","-","Mil Reais"
"MU","1300060","Amaturá (AM)","16","Mil Reais","7","Mil Reais","17","Mil Reais","7","Mil Reais","18","Mil Reais","8","Mil Reais","6","Mil Reais","6","Mil Reais","4","Mil Reais","4","Mil Reais","111","Mil Reais","111","Mil Reais","733","Mil Reais","630","Mil Reais","740","Mil Reais","645","Mil Reais","374","Mil Reais","250","Mil Reais","365","Mil Reais","250","Mil Reais","351","Mil Reais","193","Mil Reais","368","Mil Reais","126","Mil Reais","596","Mil Reais","96","Mil Reais","486","Mil Reais","11","Mil Reais","407","Mil Reais","4","Mil Reais","463","Mil Reais","4","Mil Reais","715","Mil Reais","4","Mil Reais","514","Mil Reais","-","Mil Reais","803","Mil Reais","-","Mil Reais","2694","Mil Reais","-","Mil Reais","2605","Mil Reais","-","Mil Reais"
"MU","1300086","Anamã (AM)","38","Mil Reais","11","Mil Reais","40","Mil Reais","12","Mil Reais","42","Mil Reais","12","Mil Reais","20","Mil Reais","19","Mil Reais","22","Mil Reais","22","Mil Reais","25","Mil Reais","25","Mil Reais","27","Mil Reais","23","Mil Reais","54","Mil Reais","45","Mil Reais","50","Mil Reais","43","Mil Reais","38","Mil Reais","34","Mil Reais","29","Mil Reais","25","Mil Reais","26","Mil Reais","23","Mil Reais","33","Mil Reais","29","Mil Reais","45","Mil Reais","36","Mil Reais","46","Mil Reais","37","Mil Reais","44","Mil Reais","35","Mil Reais","46","Mil Reais","38","Mil Reais","45","Mil Reais","34","Mil Reais","52","Mil Reais","39","Mil Reais","338","Mil Reais","50","Mil Reais","394","Mil Reais","54","Mil Reais"
"MU","1300102","Anori (AM)","59","Mil Reais","49","Mil Reais","60","Mil Reais","50","Mil Reais","63","Mil Reais","52","Mil Reais","50","Mil Reais","50","Mil Reais","91","Mil Reais","91","Mil Reais","101","Mil Reais","92","Mil Reais","227","Mil Reais","119","Mil Reais","399","Mil Reais","275","Mil Reais","270","Mil Reais","195","Mil Reais","189","Mil Reais","138","Mil Reais","221","Mil Reais","156","Mil Reais","224","Mil Reais","154","Mil Reais","221","Mil Reais","169","Mil Reais","147","Mil Reais","74","Mil Reais","162","Mil Reais","81","Mil Reais","155","Mil Reais","70","Mil Reais","149","Mil Reais","77","Mil Reais","173","Mil Reais","90","Mil Reais","193","Mil Reais","99","Mil Reais","750","Mil Reais","120","Mil Reais","1078","Mil Reais","158","Mil Reais"
"MU","1300144","Apuí (AM)","899","Mil Reais","677","Mil Reais","1088","Mil Reais","861","Mil Reais","1130","Mil Reais","887","Mil Reais","555","Mil Reais","525","Mil Reais","1357","Mil Reais","1347","Mil Reais","1376","Mil Reais","1365","Mil Reais","4404","Mil Reais","3713","Mil Reais","6234","Mil Reais","5337","Mil Reais","4812","Mil Reais","4185","Mil Reais","6377","Mil Reais","5224","Mil Reais","8138","Mil Reais","6150","Mil Reais","9497","Mil Reais","7500","Mil Reais","6300","Mil Reais","5200","Mil Reais","6158","Mil Reais","4125","Mil Reais","8900","Mil Reais","5670","Mil Reais","8762","Mil Reais","5850","Mil Reais","9959","Mil Reais","7128","Mil Reais","9396","Mil Reais","6655","Mil Reais","15919","Mil Reais","9218","Mil Reais","17442","Mil Reais","9500","Mil Reais","25290","Mil Reais","13065","Mil Reais"
"MU","1300201","Atalaia do Norte (AM)","15","Mil Reais","-","Mil Reais","16","Mil Reais","-","Mil Reais","17","Mil Reais","-","Mil Reais","22","Mil Reais","-","Mil Reais","26","Mil Reais","-","Mil Reais","31","Mil Reais","5","Mil Reais","173","Mil Reais","9","Mil Reais","229","Mil Reais","10","Mil Reais","168","Mil Reais","11","Mil Reais","96","Mil Reais","8","Mil Reais","189","Mil Reais","10","Mil Reais","146","Mil Reais","20","Mil Reais","125","Mil Reais","11","Mil Reais","426","Mil Reais","-","Mil Reais","156","Mil Reais","9","Mil Reais","621","Mil Reais","2","Mil Reais","355","Mil Reais","3","Mil Reais","530","Mil Reais","-","Mil Reais","539","Mil Reais","-","Mil Reais","535","Mil Reais","-","Mil Reais","638","Mil Reais","-","Mil Reais"
"MU","1300300","Autazes (AM)","7780","Mil Reais","7488","Mil Reais","8265","Mil Reais","7966","Mil Reais","8524","Mil Reais","8204","Mil Reais","3757","Mil Reais","3737","Mil Reais","8819","Mil Reais","8804","Mil Reais","8934","Mil Reais","8919","Mil Reais","9144","Mil Reais","9113","Mil Reais","8199","Mil Reais","8140","Mil Reais","11382","Mil Reais","11285","Mil Reais","9483","Mil Reais","9386","Mil Reais","9936","Mil Reais","9817","Mil Reais","14434","Mil Reais","14325","Mil Reais","15931","Mil Reais","15758","Mil Reais","14557","Mil Reais","14262","Mil Reais","17664","Mil Reais","17010","Mil Reais","15906","Mil Reais","15330","Mil Reais","18212","Mil Reais","17600","Mil Reais","21107","Mil Reais","20400","Mil Reais","32305","Mil Reais","31200","Mil Reais","33395","Mil Reais","32240","Mil Reais","32803","Mil Reais","31592","Mil Reais"
"MU","1300409","Barcelos (AM)","12","Mil Reais","12","Mil Reais","12","Mil Reais","12","Mil Reais","13","Mil Reais","13","Mil Reais","12","Mil Reais","12","Mil Reais","14","Mil Reais","14","Mil Reais","30","Mil Reais","30","Mil Reais","31","Mil Reais","23","Mil Reais","37","Mil Reais","23","Mil Reais","26","Mil Reais","6","Mil Reais","26","Mil Reais","7","Mil Reais","38","Mil Reais","7","Mil Reais","29","Mil Reais","-","Mil Reais","52","Mil Reais","-","Mil Reais","97","Mil Reais","1","Mil Reais","106","Mil Reais","1","Mil Reais","98","Mil Reais","-","Mil Reais","95","Mil Reais","-","Mil Reais","100","Mil Reais","-","Mil Reais","156","Mil Reais","-","Mil Reais","378","Mil Reais","-","Mil Reais","432","Mil Reais","-","Mil Reais"
"MU","1300508","Barreirinha (AM)","1274","Mil Reais","1265","Mil Reais","1303","Mil Reais","1294","Mil Reais","1349","Mil Reais","1339","Mil Reais","798","Mil Reais","752","Mil Reais","1059","Mil Reais","986","Mil Reais","1073","Mil Reais","999","Mil Reais","1624","Mil Reais","1348","Mil Reais","2004","Mil Reais","1600","Mil Reais","7020","Mil Reais","6600","Mil Reais","5861","Mil Reais","5288","Mil Reais","5524","Mil Reais","5024","Mil Reais","2608","Mil Reais","2160","Mil Reais","3888","Mil Reais","3240","Mil Reais","3059","Mil Reais","2160","Mil Reais","3331","Mil Reais","2363","Mil Reais","3528","Mil Reais","2520","Mil Reais","3780","Mil Reais","2697","Mil Reais","3847","Mil Reais","2698","Mil Reais","3897","Mil Reais","2813","Mil Reais","4797","Mil Reais","3800","Mil Reais","7131","Mil Reais","5400","Mil Reais"
"MU","1300607","Benjamin Constant (AM)","295","Mil Reais","38","Mil Reais","303","Mil Reais","38","Mil Reais","323","Mil Reais","40","Mil Reais","125","Mil Reais","13","Mil Reais","95","Mil Reais","32","Mil Reais","96","Mil Reais","32","Mil Reais","202","Mil Reais","89","Mil Reais","272","Mil Reais","83","Mil Reais","283","Mil Reais","52","Mil Reais","244","Mil Reais","52","Mil Reais","220","Mil Reais","43","Mil Reais","216","Mil Reais","44","Mil Reais","149","Mil Reais","24","Mil Reais","337","Mil Reais","11","Mil Reais","1838","Mil Reais","0","Mil Reais","1373","Mil Reais","0","Mil Reais","1718","Mil Reais","0","Mil Reais","1718","Mil Reais","0","Mil Reais","2486","Mil Reais","-","Mil Reais","2691","Mil Reais","-","Mil Reais","2704","Mil Reais","-","Mil Reais"
"MU","1300631","Beruri (AM)","42","Mil Reais","15","Mil Reais","44","Mil Reais","16","Mil Reais","48","Mil Reais","18","Mil Reais","3","Mil Reais","-","Mil Reais","4","Mil Reais","-","Mil Reais","155","Mil Reais","122","Mil Reais","135","Mil Reais","98","Mil Reais","166","Mil Reais","119","Mil Reais","88","Mil Reais","34","Mil Reais","82","Mil Reais","38","Mil Reais","104","Mil Reais","32","Mil Reais","...","Mil Reais","...","Mil Reais","27","Mil Reais","27","Mil Reais","10","Mil Reais","10","Mil Reais","37","Mil Reais","9","Mil Reais","721","Mil Reais","1","Mil Reais","600","Mil Reais","-","Mil Reais","524","Mil Reais","-","Mil Reais","689","Mil Reais","-","Mil Reais","356","Mil Reais","-","Mil Reais","614","Mil Reais","75","Mil Reais"
"MU","1300680","Boa Vista do Ramos (AM)","350","Mil Reais","340","Mil Reais","358","Mil Reais","348","Mil Reais","371","Mil Reais","360","Mil Reais","122","Mil Reais","113","Mil Reais","282","Mil Reais","207","Mil Reais","300","Mil Reais","224","Mil Reais","201","Mil Reais","157","Mil Reais","206","Mil Reais","139","Mil Reais","274","Mil Reais","183","Mil Reais","350","Mil Reais","236","Mil Reais","314","Mil Reais","217","Mil Reais","302","Mil Reais","202","Mil Reais","387","Mil Reais","237","Mil Reais","515","Mil Reais","297","Mil Reais","541","Mil Reais","321","Mil Reais","572","Mil Reais","334","Mil Reais","617","Mil Reais","369","Mil Reais","631","Mil Reais","370","Mil Reais","632","Mil Reais","338","Mil Reais","678","Mil Reais","376","Mil Reais","2826","Mil Reais","710","Mil Reais"
"MU","1300706","Boca do Acre (AM)","1660","Mil Reais","1580","Mil Reais","1540","Mil Reais","1458","Mil Reais","1596","Mil Reais","1509","Mil Reais","283","Mil Reais","248","Mil Reais","1727","Mil Reais","1643","Mil Reais","1047","Mil Reais","961","Mil Reais","1425","Mil Reais","1202","Mil Reais","1763","Mil Reais","1527","Mil Reais","3036","Mil Reais","2798","Mil Reais","2698","Mil Reais","2460","Mil Reais","2707","Mil Reais","2455","Mil Reais","2843","Mil Reais","2578","Mil Reais","2800","Mil Reais","2500","Mil Reais","2760","Mil Reais","2340","Mil Reais","5984","Mil Reais","5408","Mil Reais","4959","Mil Reais","4400","Mil Reais","4776","Mil Reais","4230","Mil Reais","5226","Mil Reais","4699","Mil Reais","4769","Mil Reais","4301","Mil Reais","13051","Mil Reais","12540","Mil Reais","18556","Mil Reais","17346","Mil Reais"
"MU","1300805","Borba (AM)","70","Mil Reais","39","Mil Reais","72","Mil Reais","40","Mil Reais","76","Mil Reais","42","Mil Reais","11","Mil Reais","4","Mil Reais","18","Mil Reais","8","Mil Reais","18","Mil Reais","8","Mil Reais","70","Mil Reais","25","Mil Reais","137","Mil Reais","56","Mil Reais","264","Mil Reais","180","Mil Reais","255","Mil Reais","175","Mil Reais","319","Mil Reais","135","Mil Reais","398","Mil Reais","153","Mil Reais","389","Mil Reais","140","Mil Reais","432","Mil Reais","142","Mil Reais","505","Mil Reais","170","Mil Reais","479","Mil Reais","175","Mil Reais","520","Mil Reais","238","Mil Reais","500","Mil Reais","233","Mil Reais","643","Mil Reais","304","Mil Reais","1014","Mil Reais","296","Mil Reais","2134","Mil Reais","986","Mil Reais"
"MU","1300839","Caapiranga (AM)","25","Mil Reais","22","Mil Reais","25","Mil Reais","22","Mil Reais","27","Mil Reais","24","Mil Reais","8","Mil Reais","-","Mil Reais","12","Mil Reais","-","Mil Reais","115","Mil Reais","102","Mil Reais","124","Mil Reais","77","Mil Reais","127","Mil Reais","78","Mil Reais","217","Mil Reais","163","Mil Reais","206","Mil Reais","88","Mil Reais","170","Mil Reais","45","Mil Reais","186","Mil Reais","90","Mil Reais","140","Mil Reais","11","Mil Reais","235","Mil Reais","18","Mil Reais","241","Mil Reais","18","Mil Reais","469","Mil Reais","18","Mil Reais","89","Mil Reais","20","Mil Reais","65","Mil Reais","-","Mil Reais","173","Mil Reais","-","Mil Reais","26","Mil Reais","-","Mil Reais","108","Mil Reais","-","Mil Reais"
"MU","1300904","Canutama (AM)","262","Mil Reais","232","Mil Reais","268","Mil Reais","237","Mil Reais","279","Mil Reais","246","Mil Reais","15","Mil Reais","6","Mil Reais","22","Mil Reais","4","Mil Reais","83","Mil Reais","64","Mil Reais","80","Mil Reais","57","Mil Reais","103","Mil Reais","61","Mil Reais","136","Mil Reais","61","Mil Reais","182","Mil Reais","90","Mil Reais","200","Mil Reais","89","Mil Reais","221","Mil Reais","95","Mil Reais","246","Mil Reais","103","Mil Reais","286","Mil Reais","120","Mil Reais","348","Mil Reais","150","Mil Reais","350","Mil Reais","157","Mil Reais","317","Mil Reais","141","Mil Reais","350","Mil Reais","146","Mil Reais","354","Mil Reais","146","Mil Reais","2858","Mil Reais","845","Mil Reais","3788","Mil Reais","1575","Mil Reais"
"MU","1301001","Carauari (AM)","145","Mil Reais","32","Mil Reais","137","Mil Reais","22","Mil Reais","147","Mil Reais","23","Mil Reais","317","Mil Reais","45","Mil Reais","147","Mil Reais","8","Mil Reais","150","Mil Reais","10","Mil Reais","153","Mil Reais","10","Mil Reais","160","Mil Reais","13","Mil Reais","118","Mil Reais","10","Mil Reais","144","Mil Reais","9","Mil Reais","15","Mil Reais","4","Mil Reais","148","Mil Reais","4","Mil Reais","110","Mil Reais","2","Mil Reais","174","Mil Reais","1","Mil Reais","189","Mil Reais","1","Mil Reais","911","Mil Reais","0","Mil Reais","1440","Mil Reais","-","Mil Reais","1440","Mil Reais","-","Mil Reais","2208","Mil Reais","-","Mil Reais","1818","Mil Reais","-","Mil Reais","3240","Mil Reais","-","Mil Reais"
"MU","1301100","Careiro (AM)","751","Mil Reais","647","Mil Reais","770","Mil Reais","663","Mil Reais","796","Mil Reais","682","Mil Reais","273","Mil Reais","194","Mil Reais","225","Mil Reais","225","Mil Reais","1470","Mil Reais","1470","Mil Reais","2086","Mil Reais","2046","Mil Reais","1327","Mil Reais","1260","Mil Reais","498","Mil Reais","418","Mil Reais","499","Mil Reais","450","Mil Reais","1487","Mil Reais","1408","Mil Reais","1346","Mil Reais","1296","Mil Reais","402","Mil Reais","304","Mil Reais","474","Mil Reais","358","Mil Reais","682","Mil Reais","454","Mil Reais","669","Mil Reais","109","Mil Reais","738","Mil Reais","114","Mil Reais","3310","Mil Reais","160","Mil Reais","3891","Mil Reais","225","Mil Reais","6334","Mil Reais","734","Mil Reais","5209","Mil Reais","709","Mil Reais"
