"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal"
"Nível","Cód.","Município","Ano x Tipo de produto de origem animal"
"Nível","Cód.","Município","2004",,,,"2005",,,,"2006",,,,"2007",,,,"2008",,,,"2009",,,,"2010",,,,"2011",,,,"2012",,,,"2013",,,,"2014",,,,"2015",,,,"2016",,,,"2017",,,,"2018",,,,"2019",,,,"2020",,,,"2021",,,,"2022",,,,"2023",,,,"2024"
"Nível","Cód.","Município","Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite",,"Total",,"Leite"
"MU","1300631","Beruri (AM)","..","","18","Mil litros","..","","18","Mil litros","..","","20","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","61","Mil litros","..","","54","Mil litros","..","","66","Mil litros","..","","21","Mil litros","..","","19","Mil litros","..","","16","Mil litros","..","","...","Mil litros","..","","13","Mil litros","..","","5","Mil litros","..","","3","Mil litros","..","","0","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","15","Mil litros"
"MU","1300680","Boa Vista do Ramos (AM)","..","","378","Mil litros","..","","378","Mil litros","..","","391","Mil litros","..","","123","Mil litros","..","","138","Mil litros","..","","149","Mil litros","..","","157","Mil litros","..","","139","Mil litros","..","","153","Mil litros","..","","157","Mil litros","..","","145","Mil litros","..","","135","Mil litros","..","","148","Mil litros","..","","180","Mil litros","..","","189","Mil litros","..","","197","Mil litros","..","","211","Mil litros","..","","205","Mil litros","..","","169","Mil litros","..","","171","Mil litros","..","","177","Mil litros"
"MU","1300706","Boca do Acre (AM)","..","","2258","Mil litros","..","","2083","Mil litros","..","","2155","Mil litros","..","","330","Mil litros","..","","1825","Mil litros","..","","961","Mil litros","..","","961","Mil litros","..","","1018","Mil litros","..","","1399","Mil litros","..","","1230","Mil litros","..","","1228","Mil litros","..","","1289","Mil litros","..","","1000","Mil litros","..","","900","Mil litros","..","","2080","Mil litros","..","","2200","Mil litros","..","","2350","Mil litros","..","","2540","Mil litros","..","","2530","Mil litros","..","","7600","Mil litros","..","","9912","Mil litros"
"MU","1300805","Borba (AM)","..","","46","Mil litros","..","","46","Mil litros","..","","48","Mil litros","..","","4","Mil litros","..","","8","Mil litros","..","","8","Mil litros","..","","12","Mil litros","..","","28","Mil litros","..","","90","Mil litros","..","","92","Mil litros","..","","77","Mil litros","..","","85","Mil litros","..","","70","Mil litros","..","","71","Mil litros","..","","68","Mil litros","..","","70","Mil litros","..","","68","Mil litros","..","","69","Mil litros","..","","80","Mil litros","..","","99","Mil litros","..","","329","Mil litros"
"MU","1300839","Caapiranga (AM)","..","","26","Mil litros","..","","26","Mil litros","..","","27","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","68","Mil litros","..","","64","Mil litros","..","","65","Mil litros","..","","65","Mil litros","..","","35","Mil litros","..","","30","Mil litros","..","","30","Mil litros","..","","7","Mil litros","..","","9","Mil litros","..","","9","Mil litros","..","","9","Mil litros","..","","8","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1300904","Canutama (AM)","..","","273","Mil litros","..","","273","Mil litros","..","","282","Mil litros","..","","7","Mil litros","..","","3","Mil litros","..","","43","Mil litros","..","","40","Mil litros","..","","41","Mil litros","..","","41","Mil litros","..","","57","Mil litros","..","","50","Mil litros","..","","50","Mil litros","..","","52","Mil litros","..","","60","Mil litros","..","","65","Mil litros","..","","67","Mil litros","..","","59","Mil litros","..","","60","Mil litros","..","","61","Mil litros","..","","264","Mil litros","..","","450","Mil litros"
"MU","1301001","Carauari (AM)","..","","38","Mil litros","..","","45","Mil litros","..","","47","Mil litros","..","","45","Mil litros","..","","8","Mil litros","..","","9","Mil litros","..","","9","Mil litros","..","","9","Mil litros","..","","7","Mil litros","..","","4","Mil litros","..","","1","Mil litros","..","","1","Mil litros","..","","1","Mil litros","..","","0","Mil litros","..","","0","Mil litros","..","","0","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros","..","","-","Mil litros"
"MU","1301100","Careiro (AM)","..","","809","Mil litros","..","","808","Mil litros","..","","832","Mil litros","..","","236","Mil litros","..","","237","Mil litros","..","","980","Mil litros","..","","1023","Mil litros","..","","700","Mil litros","..","","209","Mil litros","..","","180","Mil litros","..","","938","Mil litros","..","","720","Mil litros","..","","234","Mil litros","..","","275","Mil litros","..","","303","Mil litros","..","","73","Mil litros","..","","71","Mil litros","..","","80","Mil litros","..","","90","Mil litros","..","","282","Mil litros","..","","236","Mil litros"
"MU","1301159","Careiro da Várzea (AM)","..","","7869","Mil litros","..","","7869","Mil litros","..","","8144","Mil litros","..","","5277","Mil litros","..","","6300","Mil litros","..","","6376","Mil litros","..","","9734","Mil litros","..","","9611","Mil litros","..","","9611","Mil litros","..","","9702","Mil litros","..","","8218","Mil litros","..","","8700","Mil litros","..","","8990","Mil litros","..","","8500","Mil litros","..","","7999","Mil litros","..","","7983","Mil litros","..","","7958","Mil litros","..","","7900","Mil litros","..","","9000","Mil litros","..","","9000","Mil litros","..","","8000","Mil litros"
"MU","1301209","Coari (AM)","..","","131","Mil litros","..","","131","Mil litros","..","","135","Mil litros","..","","125","Mil litros","..","","127","Mil litros","..","","129","Mil litros","..","","60","Mil litros","..","","70","Mil litros","..","","45","Mil litros","..","","48","Mil litros","..","","50","Mil litros","..","","47","Mil litros","..","","55","Mil litros","..","","36","Mil litros","..","","38","Mil litros","..","","35","Mil litros","..","","40","Mil litros","..","","45","Mil litros","..","","43","Mil litros","..","","64","Mil litros","..","","43","Mil litros"
